_time,frequency,percentage
2025-03-03 00:00:00+00:00,474,53.86363636363637
2025-03-04 00:00:00+00:00,297,33.75
2025-03-05 00:00:00+00:00,308,35.0
2025-03-06 00:00:00+00:00,318,36.13636363636364
2025-03-07 00:00:00+00:00,502,57.04545454545455
2025-03-10 00:00:00+00:00,360,40.909090909090914
2025-03-11 00:00:00+00:00,415,47.159090909090914
2025-03-12 00:00:00+00:00,437,49.65909090909091
2025-03-13 00:00:00+00:00,467,53.06818181818181
2025-03-14 00:00:00+00:00,438,49.77272727272727
2025-03-15 00:00:00+00:00,690,78.4090909090909
