_time,frequency,percentage
2025-03-01 04:00:00+00:00,17,7.52212389380531
2025-03-01 05:00:00+00:00,1,0.4424778761061947
2025-03-01 06:00:00+00:00,0,0.0
2025-03-01 07:00:00+00:00,0,0.0
2025-03-01 08:00:00+00:00,3,1.3274336283185841
2025-03-01 15:00:00+00:00,48,21.238938053097346
2025-03-01 16:00:00+00:00,3,1.3274336283185841
2025-03-01 17:00:00+00:00,0,0.0
2025-03-01 18:00:00+00:00,0,0.0
2025-03-01 19:00:00+00:00,0,0.0
2025-03-01 20:00:00+00:00,0,0.0
2025-03-01 21:00:00+00:00,0,0.0
2025-03-01 22:00:00+00:00,0,0.0
2025-03-01 23:00:00+00:00,0,0.0
2025-03-02 00:00:00+00:00,0,0.0
2025-03-02 01:00:00+00:00,0,0.0
2025-03-02 02:00:00+00:00,0,0.0
2025-03-02 03:00:00+00:00,0,0.0
2025-03-02 04:00:00+00:00,0,0.0
2025-03-02 05:00:00+00:00,0,0.0
2025-03-02 06:00:00+00:00,0,0.0
2025-03-02 07:00:00+00:00,0,0.0
2025-03-02 08:00:00+00:00,0,0.0
2025-03-02 09:00:00+00:00,0,0.0
2025-03-02 10:00:00+00:00,0,0.0
2025-03-02 11:00:00+00:00,0,0.0
2025-03-02 12:00:00+00:00,0,0.0
2025-03-02 13:00:00+00:00,0,0.0
2025-03-02 14:00:00+00:00,0,0.0
2025-03-02 15:00:00+00:00,0,0.0
2025-03-02 16:00:00+00:00,0,0.0
2025-03-02 17:00:00+00:00,0,0.0
2025-03-02 18:00:00+00:00,0,0.0
2025-03-02 19:00:00+00:00,0,0.0
2025-03-02 20:00:00+00:00,0,0.0
2025-03-02 21:00:00+00:00,0,0.0
2025-03-02 22:00:00+00:00,0,0.0
2025-03-02 23:00:00+00:00,0,0.0
2025-03-03 00:00:00+00:00,0,0.0
2025-03-03 01:00:00+00:00,0,0.0
2025-03-03 02:00:00+00:00,0,0.0
2025-03-03 03:00:00+00:00,0,0.0
2025-03-03 04:00:00+00:00,4,1.7699115044247788
2025-03-03 05:00:00+00:00,4,1.7699115044247788
2025-03-03 06:00:00+00:00,2,0.8849557522123894
2025-03-03 07:00:00+00:00,5,2.2123893805309733
2025-03-03 08:00:00+00:00,8,3.5398230088495577
2025-03-03 13:00:00+00:00,47,20.79646017699115
2025-03-03 14:00:00+00:00,37,16.371681415929203
2025-03-03 15:00:00+00:00,25,11.061946902654867
2025-03-03 16:00:00+00:00,3,1.3274336283185841
2025-03-03 17:00:00+00:00,0,0.0
2025-03-03 18:00:00+00:00,0,0.0
2025-03-03 19:00:00+00:00,0,0.0
2025-03-03 20:00:00+00:00,0,0.0
2025-03-03 21:00:00+00:00,0,0.0
2025-03-03 22:00:00+00:00,0,0.0
2025-03-03 23:00:00+00:00,0,0.0
2025-03-04 00:00:00+00:00,0,0.0
2025-03-04 01:00:00+00:00,0,0.0
2025-03-04 02:00:00+00:00,0,0.0
2025-03-04 03:00:00+00:00,0,0.0
2025-03-04 04:00:00+00:00,2,0.8849557522123894
2025-03-04 05:00:00+00:00,3,1.3274336283185841
2025-03-04 06:00:00+00:00,1,0.4424778761061947
2025-03-04 07:00:00+00:00,0,0.0
2025-03-04 08:00:00+00:00,3,1.3274336283185841
2025-03-04 10:00:00+00:00,42,18.58407079646018
2025-03-04 11:00:00+00:00,42,18.58407079646018
2025-03-04 12:00:00+00:00,42,18.58407079646018
2025-03-04 13:00:00+00:00,35,15.486725663716813
2025-03-04 14:00:00+00:00,42,18.58407079646018
2025-03-04 15:00:00+00:00,17,7.52212389380531
2025-03-04 16:00:00+00:00,1,0.4424778761061947
2025-03-04 17:00:00+00:00,0,0.0
2025-03-04 18:00:00+00:00,0,0.0
2025-03-04 19:00:00+00:00,0,0.0
2025-03-04 20:00:00+00:00,0,0.0
2025-03-04 21:00:00+00:00,0,0.0
2025-03-04 22:00:00+00:00,0,0.0
2025-03-04 23:00:00+00:00,0,0.0
2025-03-05 00:00:00+00:00,0,0.0
2025-03-05 01:00:00+00:00,0,0.0
2025-03-05 02:00:00+00:00,0,0.0
2025-03-05 03:00:00+00:00,0,0.0
2025-03-05 04:00:00+00:00,6,2.6548672566371683
2025-03-05 05:00:00+00:00,9,3.982300884955752
2025-03-05 06:00:00+00:00,3,1.3274336283185841
2025-03-05 07:00:00+00:00,1,0.4424778761061947
2025-03-05 08:00:00+00:00,5,2.2123893805309733
2025-03-05 09:00:00+00:00,47,20.79646017699115
2025-03-05 11:00:00+00:00,43,19.02654867256637
2025-03-05 12:00:00+00:00,38,16.8141592920354
2025-03-05 13:00:00+00:00,31,13.716814159292035
2025-03-05 14:00:00+00:00,39,17.25663716814159
2025-03-05 15:00:00+00:00,24,10.619469026548673
2025-03-05 16:00:00+00:00,8,3.5398230088495577
2025-03-05 17:00:00+00:00,0,0.0
2025-03-05 18:00:00+00:00,0,0.0
2025-03-05 19:00:00+00:00,0,0.0
2025-03-05 20:00:00+00:00,0,0.0
2025-03-05 21:00:00+00:00,0,0.0
2025-03-05 22:00:00+00:00,0,0.0
2025-03-05 23:00:00+00:00,1,0.4424778761061947
2025-03-06 00:00:00+00:00,0,0.0
2025-03-06 01:00:00+00:00,0,0.0
2025-03-06 02:00:00+00:00,0,0.0
2025-03-06 03:00:00+00:00,0,0.0
2025-03-06 04:00:00+00:00,5,2.2123893805309733
2025-03-06 05:00:00+00:00,9,3.982300884955752
2025-03-06 06:00:00+00:00,0,0.0
2025-03-06 07:00:00+00:00,8,3.5398230088495577
2025-03-06 08:00:00+00:00,3,1.3274336283185841
2025-03-06 09:00:00+00:00,38,16.8141592920354
2025-03-06 11:00:00+00:00,38,16.8141592920354
2025-03-06 12:00:00+00:00,46,20.353982300884958
2025-03-06 13:00:00+00:00,21,9.29203539823009
2025-03-06 14:00:00+00:00,43,19.02654867256637
2025-03-06 15:00:00+00:00,49,21.68141592920354
2025-03-06 16:00:00+00:00,3,1.3274336283185841
2025-03-06 17:00:00+00:00,0,0.0
2025-03-06 18:00:00+00:00,0,0.0
2025-03-06 19:00:00+00:00,0,0.0
2025-03-06 20:00:00+00:00,0,0.0
2025-03-06 21:00:00+00:00,0,0.0
2025-03-06 22:00:00+00:00,0,0.0
2025-03-06 23:00:00+00:00,0,0.0
2025-03-07 00:00:00+00:00,0,0.0
2025-03-07 01:00:00+00:00,0,0.0
2025-03-07 02:00:00+00:00,0,0.0
2025-03-07 03:00:00+00:00,0,0.0
2025-03-07 04:00:00+00:00,3,1.3274336283185841
2025-03-07 05:00:00+00:00,11,4.867256637168142
2025-03-07 06:00:00+00:00,4,1.7699115044247788
2025-03-07 07:00:00+00:00,2,0.8849557522123894
2025-03-07 08:00:00+00:00,3,1.3274336283185841
2025-03-07 12:00:00+00:00,47,20.79646017699115
2025-03-07 16:00:00+00:00,3,1.3274336283185841
2025-03-07 17:00:00+00:00,0,0.0
2025-03-07 18:00:00+00:00,0,0.0
2025-03-07 19:00:00+00:00,0,0.0
2025-03-07 20:00:00+00:00,0,0.0
2025-03-07 21:00:00+00:00,0,0.0
2025-03-07 22:00:00+00:00,0,0.0
2025-03-07 23:00:00+00:00,0,0.0
2025-03-08 00:00:00+00:00,0,0.0
2025-03-08 01:00:00+00:00,0,0.0
2025-03-08 02:00:00+00:00,0,0.0
2025-03-08 03:00:00+00:00,0,0.0
2025-03-08 04:00:00+00:00,9,3.982300884955752
2025-03-08 05:00:00+00:00,1,0.4424778761061947
2025-03-08 06:00:00+00:00,0,0.0
2025-03-08 07:00:00+00:00,0,0.0
2025-03-08 08:00:00+00:00,4,1.7699115044247788
2025-03-08 16:00:00+00:00,7,3.0973451327433628
2025-03-08 17:00:00+00:00,0,0.0
2025-03-08 18:00:00+00:00,0,0.0
2025-03-08 19:00:00+00:00,0,0.0
2025-03-08 20:00:00+00:00,0,0.0
2025-03-08 21:00:00+00:00,0,0.0
2025-03-08 22:00:00+00:00,0,0.0
2025-03-08 23:00:00+00:00,0,0.0
2025-03-09 00:00:00+00:00,0,0.0
2025-03-09 01:00:00+00:00,0,0.0
2025-03-09 02:00:00+00:00,0,0.0
2025-03-09 03:00:00+00:00,0,0.0
2025-03-09 04:00:00+00:00,0,0.0
2025-03-09 05:00:00+00:00,0,0.0
2025-03-09 06:00:00+00:00,0,0.0
2025-03-09 07:00:00+00:00,0,0.0
2025-03-09 08:00:00+00:00,0,0.0
2025-03-09 09:00:00+00:00,0,0.0
2025-03-09 10:00:00+00:00,0,0.0
2025-03-09 11:00:00+00:00,0,0.0
2025-03-09 12:00:00+00:00,0,0.0
2025-03-09 13:00:00+00:00,0,0.0
2025-03-09 14:00:00+00:00,0,0.0
2025-03-09 15:00:00+00:00,0,0.0
2025-03-09 16:00:00+00:00,0,0.0
2025-03-09 17:00:00+00:00,0,0.0
2025-03-09 18:00:00+00:00,0,0.0
2025-03-09 19:00:00+00:00,0,0.0
2025-03-09 20:00:00+00:00,0,0.0
2025-03-09 21:00:00+00:00,0,0.0
2025-03-09 22:00:00+00:00,0,0.0
2025-03-09 23:00:00+00:00,0,0.0
2025-03-10 00:00:00+00:00,0,0.0
2025-03-10 01:00:00+00:00,0,0.0
2025-03-10 02:00:00+00:00,0,0.0
2025-03-10 03:00:00+00:00,0,0.0
2025-03-10 04:00:00+00:00,1,0.4424778761061947
2025-03-10 05:00:00+00:00,12,5.3097345132743365
2025-03-10 06:00:00+00:00,2,0.8849557522123894
2025-03-10 07:00:00+00:00,4,1.7699115044247788
2025-03-10 08:00:00+00:00,6,2.6548672566371683
2025-03-10 11:00:00+00:00,42,18.58407079646018
2025-03-10 12:00:00+00:00,27,11.946902654867257
2025-03-10 13:00:00+00:00,42,18.58407079646018
2025-03-10 14:00:00+00:00,20,8.849557522123893
2025-03-10 15:00:00+00:00,28,12.389380530973451
2025-03-10 16:00:00+00:00,8,3.5398230088495577
2025-03-10 17:00:00+00:00,0,0.0
